player_name,team_name,match_no,tackles,recoveries,gk_saves
Braian Ojeda,Paraguay,75,0,1,0
Brandley Kuwas,Curaçao,55,0,1,0
Brandon Mechele,Belgium,14,2,2,0
Brandon Mechele,Belgium,38,0,6,0
Brandon Mechele,Belgium,66,1,4,0
Brandon Mechele,Belgium,81,0,7,0
Brandon Mechele,Belgium,94,2,0,0
Brandon Mechele,Belgium,98,2,1,0
Brandon Thomas-Asante,Ghana,23,0,1,0
Brandon Thomas-Asante,Ghana,67,0,1,0
Breel Embolo,Switzerland,5,1,0,0
Breel Embolo,Switzerland,26,0,2,0
Breel Embolo,Switzerland,50,0,1,0
Breel Embolo,Switzerland,85,0,1,0
Breel Embolo,Switzerland,96,0,1,0
Breel Embolo,Switzerland,100,0,3,0
Brenden Aaronson,USA,60,4,3,0
Brian Brobbey,Netherlands,10,0,0,0
Brian Brobbey,Netherlands,33,0,0,0
Brian Brobbey,Netherlands,58,1,2,0
Brian Brobbey,Netherlands,76,1,0,0
Brian Cipenga,DR Congo,70,2,8,0
Brian Cipenga,DR Congo,80,2,5,0
Brian Gutierrez,Mexico,1,0,0,0
Brian Gutierrez,Mexico,28,1,2,0
Brian Gutierrez,Mexico,79,1,1,0
Brian Gutierrez,Mexico,92,0,1,0
Brian Rodríguez,Uruguay,15,0,1,0
Brian Rodríguez,Uruguay,39,0,0,0
Brian Rodríguez,Uruguay,64,0,1,0
Bruno Fernandes,Portugal,21,3,1,0
Bruno Fernandes,Portugal,45,2,2,0
Bruno Fernandes,Portugal,69,2,2,0
Bruno Fernandes,Portugal,84,1,2,0
Bruno Fernandes,Portugal,93,0,5,0
Bruno Guimaraes,Brazil,6,2,3,0
Bruno Guimaraes,Brazil,31,5,2,0
Bruno Guimaraes,Brazil,52,0,9,0
Bruno Guimaraes,Brazil,74,2,5,0
Bruno Guimaraes,Brazil,91,2,1,0
Bukayo Saka,England,22,0,1,0
Bukayo Saka,England,46,0,0,0
Bukayo Saka,England,68,2,1,0
Bukayo Saka,England,80,2,1,0
Bukayo Saka,England,92,3,1,0
Bukayo Saka,England,99,3,1,0
Bukayo Saka,England,103,3,5,0
Caglar Soyuncu,Türkiye,60,0,0,0
Caleb Yirenkyi,Ghana,23,1,9,0
Caleb Yirenkyi,Ghana,46,1,3,0
Caleb Yirenkyi,Ghana,67,0,2,0
Caleb Yirenkyi,Ghana,88,0,3,0
Callan Elliot,New Zealand,16,1,1,0
Callum McCowatt,New Zealand,16,1,4,0
Callum McCowatt,New Zealand,40,0,5,0
Callum McCowatt,New Zealand,66,0,2,0
Cameron Burgess,Australia,8,2,1,0
Cameron Burgess,Australia,29,0,1,0
Camilo Vargas,Colombia,24,0,10,1
Camilo Vargas,Colombia,48,0,4,1
Camilo Vargas,Colombia,69,0,5,2
Camilo Vargas,Colombia,88,0,9,0
Camilo Vargas,Colombia,96,0,8,2
Can Uzun,Türkiye,32,0,5,0
Can Uzun,Türkiye,60,0,1,0
Carl Starfelt,Sweden,57,0,1,0
Carlens Arcus,Haiti,7,0,0,0
Carlens Arcus,Haiti,31,2,0,0
Carlens Arcus,Haiti,51,1,1,0
Carlos Harvey,Panama,23,5,5,0
Carlos Harvey,Panama,47,0,3,0
Carlos Harvey,Panama,68,2,4,0
Carney Chukwuemeka,Austria,20,0,0,0
Carney Chukwuemeka,Austria,41,0,1,0
Carney Chukwuemeka,Austria,83,0,4,0
Casemiro,Brazil,6,1,5,0
Casemiro,Brazil,31,6,5,0
Casemiro,Brazil,52,4,0,0
Casemiro,Brazil,74,1,5,0
Casemiro,Brazil,91,2,3,0
Cecilio Waterman,Panama,23,0,0,0
Cecilio Waterman,Panama,47,0,0,0
Cédric Bakambu,DR Congo,21,0,2,0
Cédric Bakambu,DR Congo,48,0,0,0
Cédric Bakambu,DR Congo,70,0,2,0
Cedric Itten,Switzerland,26,0,0,0
Cedric Itten,Switzerland,50,1,0,0
Cedric Itten,Switzerland,96,0,0,0
César Blackman,Panama,23,3,7,0
César Blackman,Panama,47,0,1,0
Cesar Huerta,Mexico,28,0,1,0
Cesar Montes,Mexico,1,0,3,0
Cesar Montes,Mexico,53,1,1,0
Cesar Montes,Mexico,79,1,0,0
Cesar Montes,Mexico,92,0,0,0
Chadi Riad,Morocco,6,0,3,0
Chadi Riad,Morocco,30,0,0,0
Chadi Riad,Morocco,51,2,2,0
Chadi Riad,Morocco,76,0,1,0
Chancel Mbemba,DR Congo,21,2,4,0
Chancel Mbemba,DR Congo,48,0,1,0
Chancel Mbemba,DR Congo,70,1,5,0
Chancel Mbemba,DR Congo,80,1,1,0
Charles De Ketelaere,Belgium,14,2,3,0
Charles De Ketelaere,Belgium,66,2,3,0
Charles De Ketelaere,Belgium,81,1,0,0
Charles De Ketelaere,Belgium,94,1,2,0
Charles De Ketelaere,Belgium,98,0,1,0
Charles Pickel,DR Congo,21,0,0,0
Charles Pickel,DR Congo,48,0,0,0
Che Adams,Scotland,7,0,0,0
Che Adams,Scotland,30,1,0,0
Che Adams,Scotland,52,0,0,0
Chemsdine Talbi,Morocco,6,0,1,0
Chemsdine Talbi,Morocco,30,0,1,0
Chemsdine Talbi,Morocco,76,0,3,0
Chemsdine Talbi,Morocco,89,2,2,0
Chemsdine Talbi,Morocco,97,0,2,0
Chris Richards,USA,4,1,3,0
Chris Richards,USA,29,3,3,0
Chris Richards,USA,82,0,1,0
Chris Richards,USA,94,1,2,0
Chris Wood,New Zealand,16,0,0,0
Chris Wood,New Zealand,40,0,1,0
Chris Wood,New Zealand,66,1,0,0
Christ Inao Oulai,Ivory Coast,11,0,1,0
Christ Inao Oulai,Ivory Coast,34,4,4,0
